Unnamed: 0,Order ID,Customer Name,Order Amount,Order Date
474,475,Customer 475,1354.91,2023-11-07
121,122,Customer 122,1353.8,2024-06-17
516,517,Customer 517,1352.82,2024-03-28
507,508,Customer 508,1352.21,2023-12-22
153,154,Customer 154,1351.59,2024-09-30
483,484,Customer 484,1349.75,2024-08-16
449,450,Customer 450,1349.6,2024-01-06
329,330,Customer 330,1349.13,2024-06-07
88,89,Customer 89,1347.91,2024-04-16
44,45,Customer 45,1347.87,2024-09-03
126,127,Customer 127,1347.27,2024-03-23
425,426,Customer 426,1346.03,2023-11-11
417,418,Customer 418,1340.43,2024-01-14
342,343,Customer 343,1339.91,2024-03-07
210,211,Customer 211,1338.76,2024-05-18
935,936,Customer 936,1336.68,2024-01-23
777,778,Customer 778,1335.27,2024-03-30
61,62,Customer 62,1334.25,2024-10-03
191,192,Customer 192,1333.82,2023-12-29
302,303,Customer 303,1331.83,2024-06-20
365,366,Customer 366,1331.1,2024-07-26
586,587,Customer 587,1331.04,2023-12-24
262,263,Customer 263,1330.73,2023-11-30
248,249,Customer 249,1330.68,2024-02-08
832,833,Customer 833,1329.08,2024-05-13
143,144,Customer 144,1328.33,2024-02-15
273,274,Customer 274,1327.29,2024-04-27
390,391,Customer 391,1326.6,2023-12-30
384,385,Customer 385,1324.77,2023-11-15
879,880,Customer 880,1324.22,2024-06-07
578,579,Customer 579,1321.29,2024-10-10
523,524,Customer 524,1319.99,2024-08-10
904,905,Customer 905,1319.86,2024-05-02
724,725,Customer 725,1318.58,2024-05-29
396,397,Customer 397,1318.55,2024-01-04
252,253,Customer 253,1317.88,2024-07-07
98,99,Customer 99,1316.34,2024-01-19
295,296,Customer 296,1315.48,2024-03-08
677,678,Customer 678,1315.26,2023-12-30
411,412,Customer 412,1313.96,2024-09-02
330,331,Customer 331,1311.38,2024-03-26
161,162,Customer 162,1309.53,2024-06-27
257,258,Customer 258,1308.11,2024-04-15
345,346,Customer 346,1306.75,2024-09-08
907,908,Customer 908,1304.84,2024-07-02
912,913,Customer 913,1300.61,2024-07-07
373,374,Customer 374,1300.49,2024-06-23
893,894,Customer 894,1299.33,2024-04-17
39,40,Customer 40,1297.26,2024-06-15
635,636,Customer 636,1293.12,2024-04-28
667,668,Customer 668,1291.53,2024-10-16
327,328,Customer 328,1290.99,2024-10-11
973,974,Customer 974,1290.16,2024-03-06
375,376,Customer 376,1286.04,2023-12-28
251,252,Customer 252,1285.75,2023-11-23
103,104,Customer 104,1284.47,2024-02-26
717,718,Customer 718,1282.95,2024-01-27
74,75,Customer 75,1279.63,2024-04-11
592,593,Customer 593,1275.54,2024-10-25
580,581,Customer 581,1274.22,2024-04-27
22,23,Customer 23,1273.64,2024-02-26
658,659,Customer 659,1269.84,2023-11-18
49,50,Customer 50,1268.85,2024-07-08
602,603,Customer 603,1268.85,2024-02-06
459,460,Customer 460,1267.6,2024-04-19
105,106,Customer 106,1267.32,2024-02-05
352,353,Customer 353,1265.63,2024-01-14
21,22,Customer 22,1262.7,2023-11-09
969,970,Customer 970,1262.28,2023-11-12
551,552,Customer 552,1256.45,2024-03-29
740,741,Customer 741,1256.21,2024-02-19
813,814,Customer 814,1256.08,2024-03-07
226,227,Customer 227,1252.76,2023-11-25
478,479,Customer 479,1252.32,2024-04-16
4,5,Customer 5,1249.73,2024-06-28
310,311,Customer 311,1247.71,2023-12-09
33,34,Customer 34,1246.76,2024-03-06
825,826,Customer 826,1246.6,2023-12-30
482,483,Customer 483,1243.63,2024-02-09
108,109,Customer 109,1239.21,2023-12-31
172,173,Customer 173,1237.46,2024-08-22
547,548,Customer 548,1234.11,2024-07-30
850,851,Customer 851,1233.9,2023-11-06
333,334,Customer 334,1229.9,2024-04-04
971,972,Customer 972,1226.48,2024-05-08
622,623,Customer 623,1225.32,2024-07-02
128,129,Customer 129,1223.0,2024-08-10
998,999,Customer 999,1222.5,2024-07-11
582,583,Customer 583,1221.62,2024-09-14
322,323,Customer 323,1216.69,2024-10-01
625,626,Customer 626,1216.42,2024-06-01
640,641,Customer 641,1215.17,2024-09-05
383,384,Customer 384,1215.1,2024-07-19
842,843,Customer 843,1213.87,2024-03-05
89,90,Customer 90,1212.36,2024-05-25
71,72,Customer 72,1212.24,2024-07-07
156,157,Customer 157,1211.58,2023-12-23
544,545,Customer 545,1211.48,2023-11-27
985,986,Customer 986,1202.39,2024-08-12
442,443,Customer 443,1202.06,2024-06-14
319,320,Customer 320,1198.72,2024-01-20
529,530,Customer 530,1189.14,2024-05-02
291,292,Customer 292,1187.26,2024-04-15
851,852,Customer 852,1185.21,2023-12-13
753,754,Customer 754,1183.82,2023-12-09
346,347,Customer 347,1183.68,2024-01-04
112,113,Customer 113,1179.25,2023-11-04
314,315,Customer 315,1177.54,2024-01-07
429,430,Customer 430,1175.62,2024-07-02
837,838,Customer 838,1173.14,2024-09-10
29,30,Customer 30,1172.18,2024-07-20
381,382,Customer 382,1170.97,2024-03-03
897,898,Customer 898,1169.32,2024-08-22
180,181,Customer 181,1169.1,2023-12-09
313,314,Customer 314,1167.35,2024-05-10
163,164,Customer 164,1166.93,2024-04-27
612,613,Customer 613,1166.75,2024-05-22
495,496,Customer 496,1166.64,2024-10-16
207,208,Customer 208,1166.3,2024-03-08
886,887,Customer 887,1163.95,2023-12-26
665,666,Customer 666,1163.75,2024-06-21
486,487,Customer 487,1163.68,2024-01-24
709,710,Customer 710,1162.36,2024-10-25
50,51,Customer 51,1160.18,2024-03-18
223,224,Customer 224,1156.83,2024-09-26
335,336,Customer 336,1153.14,2024-06-01
812,813,Customer 813,1152.93,2024-04-26
423,424,Customer 424,1152.42,2024-08-31
760,761,Customer 761,1151.3,2024-06-06
508,509,Customer 509,1147.84,2023-11-07
930,931,Customer 931,1146.86,2024-06-02
764,765,Customer 765,1146.76,2024-03-16
462,463,Customer 463,1142.98,2024-04-21
465,466,Customer 466,1140.94,2024-02-26
661,662,Customer 662,1139.57,2024-09-07
787,788,Customer 788,1139.48,2024-09-06
53,54,Customer 54,1139.31,2024-02-22
344,345,Customer 345,1137.84,2024-05-30
577,578,Customer 578,1137.65,2024-10-10
527,528,Customer 528,1130.94,2024-06-04
675,676,Customer 676,1130.69,2024-01-16
525,526,Customer 526,1130.51,2024-08-21
890,891,Customer 891,1130.23,2024-01-25
642,643,Customer 643,1126.15,2024-07-18
519,520,Customer 520,1125.87,2023-11-01
659,660,Customer 660,1125.43,2024-08-18
20,21,Customer 21,1124.82,2024-10-09
758,759,Customer 759,1122.43,2024-08-26
477,478,Customer 478,1122.29,2024-10-10
468,469,Customer 469,1121.6,2024-09-21
984,985,Customer 985,1120.55,2024-10-22
614,615,Customer 615,1120.07,2024-08-31
517,518,Customer 518,1119.16,2024-01-13
992,993,Customer 993,1114.92,2024-01-23
576,577,Customer 577,1114.39,2024-08-10
818,819,Customer 819,1112.84,2024-08-26
205,206,Customer 206,1112.37,2024-08-21
781,782,Customer 782,1109.43,2024-04-05
846,847,Customer 847,1109.43,2024-09-27
888,889,Customer 889,1108.64,2024-10-09
674,675,Customer 675,1108.43,2023-12-08
97,98,Customer 98,1107.97,2024-04-10
217,218,Customer 218,1107.09,2024-05-04
179,180,Customer 180,1106.36,2024-02-02
241,242,Customer 242,1105.2,2024-04-30
5,6,Customer 6,1104.72,2024-02-13
64,65,Customer 65,1103.88,2024-05-30
370,371,Customer 371,1103.27,2024-02-16
272,273,Customer 273,1098.34,2024-08-11
925,926,Customer 926,1097.23,2024-08-30
816,817,Customer 817,1095.88,2024-01-08
701,702,Customer 702,1093.72,2023-11-26
434,435,Customer 435,1092.02,2023-11-14
422,423,Customer 423,1090.27,2024-09-26
643,644,Customer 644,1088.45,2023-11-28
415,416,Customer 416,1087.37,2023-11-14
790,791,Customer 791,1086.11,2024-07-02
73,74,Customer 74,1083.71,2024-09-30
583,584,Customer 584,1083.16,2024-04-16
501,502,Customer 502,1083.0,2024-06-18
427,428,Customer 428,1082.56,2024-07-08
689,690,Customer 690,1081.83,2024-01-14
941,942,Customer 942,1081.63,2024-08-14
980,981,Customer 981,1080.61,2023-11-02
413,414,Customer 414,1078.83,2024-10-11
819,820,Customer 820,1078.58,2024-03-06
209,210,Customer 210,1078.04,2023-12-02
693,694,Customer 694,1077.72,2024-01-14
188,189,Customer 189,1075.45,2024-01-23
95,96,Customer 96,1074.47,2024-07-04
679,680,Customer 680,1073.89,2023-11-11
197,198,Customer 198,1072.86,2023-11-30
735,736,Customer 736,1070.61,2024-08-11
699,700,Customer 700,1069.75,2024-05-17
473,474,Customer 474,1069.04,2024-04-22
490,491,Customer 491,1068.39,2024-09-13
91,92,Customer 92,1061.62,2024-08-18
264,265,Customer 265,1061.34,2023-12-30
826,827,Customer 827,1058.49,2023-12-17
726,727,Customer 727,1057.34,2023-12-22
250,251,Customer 251,1055.88,2024-04-09
397,398,Customer 398,1052.44,2024-04-25
371,372,Customer 372,1050.88,2023-11-05
773,774,Customer 774,1048.04,2024-06-28
169,170,Customer 170,1047.26,2024-01-20
290,291,Customer 291,1047.06,2023-12-25
443,444,Customer 444,1044.92,2023-12-20
386,387,Customer 387,1044.75,2023-11-09
710,711,Customer 711,1043.97,2024-08-26
139,140,Customer 140,1043.78,2024-03-26
445,446,Customer 446,1041.46,2024-03-20
737,738,Customer 738,1039.41,2024-07-15
458,459,Customer 459,1037.37,2023-11-08
86,87,Customer 87,1036.31,2024-10-20
296,297,Customer 297,1032.2,2024-07-22
244,245,Customer 245,1032.05,2024-06-01
202,203,Customer 203,1031.96,2024-07-01
305,306,Customer 306,1030.66,2024-03-14
85,86,Customer 86,1029.34,2024-05-04
599,600,Customer 600,1029.04,2024-04-22
557,558,Customer 558,1029.01,2024-01-28
848,849,Customer 849,1028.54,2024-07-12
274,275,Customer 275,1026.95,2024-04-13
858,859,Customer 859,1026.57,2024-07-14
114,115,Customer 115,1025.49,2024-05-10
361,362,Customer 362,1024.7,2024-08-29
399,400,Customer 400,1022.81,2023-12-22
684,685,Customer 685,1020.86,2024-04-02
45,46,Customer 46,1018.99,2024-05-12
856,857,Customer 857,1017.88,2023-11-14
359,360,Customer 360,1017.19,2024-02-11
708,709,Customer 709,1016.96,2024-03-01
470,471,Customer 471,1016.15,2024-08-05
456,457,Customer 457,1014.92,2024-03-28
144,145,Customer 145,1012.02,2024-09-14
284,285,Customer 285,1011.65,2024-01-16
157,158,Customer 158,1011.59,2024-10-06
441,442,Customer 442,1009.81,2024-05-23
712,713,Customer 713,1009.68,2024-07-02
368,369,Customer 369,1004.95,2024-01-05
556,557,Customer 557,1003.89,2024-01-09
265,266,Customer 266,1002.22,2024-09-07
349,350,Customer 350,999.83,2024-02-23
518,519,Customer 519,998.92,2024-03-27
618,619,Customer 619,997.75,2024-05-04
884,885,Customer 885,996.58,2024-02-23
280,281,Customer 281,991.22,2024-05-06
553,554,Customer 554,989.35,2024-03-03
749,750,Customer 750,987.63,2024-02-27
287,288,Customer 288,985.5,2024-02-21
385,386,Customer 386,984.94,2024-05-15
484,485,Customer 485,984.52,2024-07-14
828,829,Customer 829,983.03,2024-09-29
687,688,Customer 688,982.0,2023-11-27
82,83,Customer 83,979.4,2024-01-23
146,147,Customer 147,977.3,2023-12-01
149,150,Customer 150,976.34,2024-07-27
281,282,Customer 282,972.17,2024-08-25
309,310,Customer 310,972.0,2024-09-06
530,531,Customer 531,971.57,2024-02-19
700,701,Customer 701,967.54,2024-01-18
111,112,Customer 112,964.24,2024-08-15
119,120,Customer 120,963.96,2023-12-03
594,595,Customer 595,960.8,2023-12-26
31,32,Customer 32,959.88,2024-05-23
117,118,Customer 118,958.55,2024-02-04
24,25,Customer 25,957.93,2024-09-26
464,465,Customer 465,957.93,2024-08-03
420,421,Customer 421,954.69,2024-02-14
96,97,Customer 97,953.61,2024-05-29
601,602,Customer 602,953.15,2024-04-04
769,770,Customer 770,952.98,2024-06-06
225,226,Customer 226,950.57,2024-04-22
318,319,Customer 319,950.57,2024-08-09
494,495,Customer 495,948.46,2023-11-27
960,961,Customer 961,948.33,2024-01-15
581,582,Customer 582,947.09,2024-08-10
131,132,Customer 132,946.96,2024-02-28
906,907,Customer 907,946.88,2024-08-20
475,476,Customer 476,946.13,2024-08-15
455,456,Customer 456,942.77,2024-04-13
560,561,Customer 561,939.43,2024-09-02
571,572,Customer 572,938.9,2024-05-05
938,939,Customer 939,938.36,2023-11-13
948,949,Customer 949,935.1,2024-10-15
972,973,Customer 973,932.84,2024-07-25
705,706,Customer 706,932.82,2024-05-01
805,806,Customer 806,931.99,2023-12-07
688,689,Customer 689,930.35,2024-09-11
43,44,Customer 44,929.65,2024-07-28
199,200,Customer 200,928.44,2024-10-26
228,229,Customer 229,928.15,2024-04-05
721,722,Customer 722,926.18,2024-05-13
174,175,Customer 175,925.64,2023-12-29
836,837,Customer 837,925.47,2024-01-01
438,439,Customer 439,924.67,2024-06-03
939,940,Customer 940,923.4,2024-01-02
136,137,Customer 137,922.04,2024-09-10
444,445,Customer 445,920.02,2024-04-21
260,261,Customer 261,919.45,2024-02-24
932,933,Customer 933,918.03,2024-10-07
624,625,Customer 625,916.16,2024-06-09
978,979,Customer 979,913.69,2024-03-25
958,959,Customer 959,910.33,2024-10-07
567,568,Customer 568,908.08,2024-02-16
829,830,Customer 830,906.44,2024-03-16
505,506,Customer 506,905.84,2024-10-09
253,254,Customer 254,904.92,2023-11-09
748,749,Customer 749,903.59,2024-07-09
40,41,Customer 41,903.28,2024-06-23
795,796,Customer 796,903.24,2024-09-12
900,901,Customer 901,901.07,2024-08-02
428,429,Customer 429,900.95,2023-12-29
101,102,Customer 102,898.61,2024-03-03
967,968,Customer 968,894.82,2024-04-07
409,410,Customer 410,894.11,2023-12-06
902,903,Customer 903,893.18,2024-07-27
788,789,Customer 789,888.14,2024-10-18
400,401,Customer 401,884.52,2024-03-28
229,230,Customer 230,884.3,2024-04-06
604,605,Customer 605,883.72,2024-07-19
664,665,Customer 665,882.75,2024-08-11
866,867,Customer 867,882.75,2024-10-07
321,322,Customer 322,879.3,2024-09-09
722,723,Customer 723,878.5,2024-04-22
511,512,Customer 512,878.31,2024-08-11
569,570,Customer 570,878.15,2024-10-18
794,795,Customer 795,873.4,2024-09-10
995,996,Customer 996,871.96,2024-05-16
504,505,Customer 505,871.66,2024-01-20
249,250,Customer 250,870.59,2024-07-03
896,897,Customer 897,868.24,2024-03-07
981,982,Customer 982,866.98,2024-05-06
76,77,Customer 77,866.73,2024-06-16
405,406,Customer 406,866.64,2024-09-04
605,606,Customer 606,865.27,2024-08-16
956,957,Customer 957,864.56,2024-10-07
426,427,Customer 427,862.31,2024-09-13
550,551,Customer 551,861.65,2024-07-27
93,94,Customer 94,855.57,2024-06-06
633,634,Customer 634,854.3,2024-07-30
355,356,Customer 356,853.98,2023-11-03
55,56,Customer 56,853.84,2024-09-11
732,733,Customer 733,848.7,2024-09-19
353,354,Customer 354,844.12,2024-09-12
481,482,Customer 482,840.96,2024-06-04
673,674,Customer 674,840.95,2024-08-18
377,378,Customer 378,840.63,2024-05-30
662,663,Customer 663,840.23,2024-05-15
639,640,Customer 640,839.23,2024-06-01
389,390,Customer 390,836.3,2024-09-03
402,403,Customer 403,834.38,2024-08-11
626,627,Customer 627,825.83,2023-12-21
756,757,Customer 757,821.73,2024-08-16
175,176,Customer 176,820.98,2024-09-26
801,802,Customer 802,819.83,2024-07-14
78,79,Customer 79,818.88,2024-08-22
949,950,Customer 950,818.18,2024-06-11
81,82,Customer 82,817.98,2024-06-13
596,597,Customer 597,816.61,2024-07-03
776,777,Customer 777,812.98,2024-07-01
811,812,Customer 812,812.73,2024-05-26
499,500,Customer 500,812.4,2024-09-15
820,821,Customer 821,811.4,2024-01-02
294,295,Customer 295,810.92,2024-04-14
408,409,Customer 409,810.21,2024-08-17
367,368,Customer 368,809.83,2024-03-18
575,576,Customer 576,809.72,2024-03-12
148,149,Customer 149,807.91,2024-10-18
548,549,Customer 549,805.67,2024-09-04
419,420,Customer 420,805.32,2023-12-01
79,80,Customer 80,805.3,2023-11-26
754,755,Customer 755,804.52,2024-03-19
461,462,Customer 462,803.13,2024-01-05
803,804,Customer 804,798.95,2024-03-25
880,881,Customer 881,796.77,2024-03-03
627,628,Customer 628,795.49,2024-03-27
854,855,Customer 855,795.26,2024-01-29
80,81,Customer 81,794.56,2024-01-21
32,33,Customer 33,791.23,2024-03-16
439,440,Customer 440,791.19,2024-10-06
572,573,Customer 573,790.95,2023-12-10
306,307,Customer 307,789.69,2024-05-30
63,64,Customer 64,789.53,2024-07-14
623,624,Customer 624,789.3,2024-08-16
629,630,Customer 630,788.63,2024-06-14
895,896,Customer 896,786.2,2024-08-22
784,785,Customer 785,785.98,2024-09-10
531,532,Customer 532,785.8,2024-06-13
214,215,Customer 215,784.77,2024-03-09
751,752,Customer 752,784.06,2023-12-15
7,8,Customer 8,783.99,2024-07-10
779,780,Customer 780,780.95,2024-04-16
598,599,Customer 599,780.04,2024-03-22
307,308,Customer 308,778.29,2024-10-05
450,451,Customer 451,777.17,2023-10-27
436,437,Customer 437,776.38,2024-09-14
865,866,Customer 866,776.28,2024-07-08
944,945,Customer 945,774.77,2024-05-25
268,269,Customer 269,773.35,2023-11-04
92,93,Customer 93,772.28,2024-05-19
201,202,Customer 202,771.91,2024-06-08
914,915,Customer 915,770.87,2023-11-28
404,405,Customer 405,770.02,2024-02-09
989,990,Customer 990,768.74,2024-06-28
338,339,Customer 339,767.02,2023-12-23
940,941,Customer 941,766.02,2024-03-25
607,608,Customer 608,763.35,2024-03-14
955,956,Customer 956,762.5,2024-09-20
60,61,Customer 61,761.63,2023-12-02
424,425,Customer 425,761.08,2024-05-27
746,747,Customer 747,759.7,2024-08-26
676,677,Customer 677,758.69,2024-02-01
715,716,Customer 716,755.82,2023-12-31
242,243,Customer 243,752.77,2023-12-29
65,66,Customer 66,751.1,2024-02-11
589,590,Customer 590,750.21,2024-05-19
28,29,Customer 29,749.9,2024-04-22
110,111,Customer 111,747.51,2024-06-02
332,333,Customer 333,747.35,2024-10-06
198,199,Customer 199,743.23,2024-05-06
300,301,Customer 301,738.29,2024-03-03
94,95,Customer 95,737.84,2023-12-29
649,650,Customer 650,737.43,2023-12-12
838,839,Customer 839,734.72,2024-09-18
595,596,Customer 596,733.92,2024-03-11
301,302,Customer 302,732.76,2024-10-22
645,646,Customer 646,731.34,2023-12-31
541,542,Customer 542,731.08,2024-02-16
757,758,Customer 758,729.28,2024-06-02
954,955,Customer 955,728.35,2023-12-03
536,537,Customer 537,727.57,2024-09-24
376,377,Customer 377,724.81,2024-05-04
785,786,Customer 786,723.69,2024-04-28
839,840,Customer 840,723.09,2024-08-26
905,906,Customer 906,721.02,2023-12-15
224,225,Customer 225,720.44,2024-07-30
559,560,Customer 560,720.39,2024-10-12
723,724,Customer 724,718.08,2024-02-21
288,289,Customer 289,713.91,2024-01-15
395,396,Customer 396,711.69,2023-11-05
931,932,Customer 932,708.56,2023-11-25
694,695,Customer 695,708.27,2024-10-25
695,696,Customer 696,705.29,2024-06-27
178,179,Customer 179,704.5,2023-11-25
513,514,Customer 514,703.25,2024-06-21
975,976,Customer 976,702.97,2024-06-06
620,621,Customer 621,702.79,2024-07-27
451,452,Customer 452,702.71,2024-03-13
543,544,Customer 544,702.61,2024-08-22
283,284,Customer 284,701.77,2023-11-24
590,591,Customer 591,701.58,2024-07-23
316,317,Customer 317,699.91,2024-05-17
898,899,Customer 899,699.9,2024-03-20
835,836,Customer 836,699.12,2024-04-20
165,166,Customer 166,698.64,2023-10-30
920,921,Customer 921,698.07,2024-09-07
67,68,Customer 68,695.88,2024-01-27
220,221,Customer 221,691.54,2024-09-17
177,178,Customer 178,689.16,2024-10-09
463,464,Customer 464,687.1,2024-09-03
887,888,Customer 888,687.07,2023-10-30
164,165,Customer 165,686.02,2024-04-02
727,728,Customer 728,685.33,2024-04-28
364,365,Customer 365,685.02,2024-03-02
200,201,Customer 201,684.5,2024-08-13
634,635,Customer 635,684.25,2024-07-09
947,948,Customer 948,683.39,2024-07-15
738,739,Customer 739,680.09,2023-12-07
929,930,Customer 930,676.87,2024-04-07
651,652,Customer 652,676.83,2024-06-06
771,772,Customer 772,673.49,2023-11-09
285,286,Customer 286,673.16,2024-08-17
868,869,Customer 869,672.84,2023-11-14
630,631,Customer 631,671.71,2024-02-27
239,240,Customer 240,671.34,2023-12-11
194,195,Customer 195,671.03,2023-10-30
123,124,Customer 124,670.75,2023-12-12
380,381,Customer 381,664.6,2024-05-25
911,912,Customer 912,661.34,2024-08-29
145,146,Customer 146,660.02,2024-05-07
193,194,Customer 194,656.93,2024-01-07
745,746,Customer 746,656.57,2024-07-15
731,732,Customer 732,654.69,2024-02-19
815,816,Customer 816,652.21,2023-12-01
942,943,Customer 943,649.44,2024-07-14
246,247,Customer 247,645.87,2024-01-02
609,610,Customer 610,645.5,2024-08-31
362,363,Customer 363,645.02,2024-08-08
619,620,Customer 620,638.46,2024-10-13
503,504,Customer 504,637.33,2023-11-29
62,63,Customer 63,636.29,2024-07-05
566,567,Customer 567,635.72,2024-02-15
54,55,Customer 55,635.56,2024-02-28
964,965,Customer 965,635.16,2024-07-04
192,193,Customer 193,634.01,2023-12-01
25,26,Customer 26,633.51,2024-01-25
497,498,Customer 498,633.12,2024-07-06
186,187,Customer 187,628.78,2024-03-22
685,686,Customer 686,623.61,2024-08-01
977,978,Customer 978,622.63,2024-01-11
23,24,Customer 24,619.57,2024-07-11
388,389,Customer 389,615.9,2024-06-09
416,417,Customer 417,615.43,2024-05-09
152,153,Customer 153,614.46,2024-02-27
959,960,Customer 960,614.31,2024-05-02
570,571,Customer 571,612.4,2024-04-12
736,737,Customer 737,612.3,2024-09-25
312,313,Customer 313,611.08,2024-07-14
927,928,Customer 928,610.94,2024-07-19
398,399,Customer 399,609.19,2024-06-29
453,454,Customer 454,608.57,2024-04-04
102,103,Customer 103,607.89,2023-11-08
915,916,Customer 916,606.67,2024-01-08
320,321,Customer 321,604.68,2024-01-07
130,131,Customer 131,602.3,2024-03-10
979,980,Customer 980,601.11,2024-08-22
733,734,Customer 734,600.57,2024-01-12
115,116,Customer 116,599.45,2024-09-01
502,503,Customer 503,598.33,2024-07-01
999,1000,Customer 1000,597.38,2023-10-27
340,341,Customer 341,596.81,2024-10-06
919,920,Customer 920,596.64,2024-09-15
366,367,Customer 367,594.57,2024-01-20
72,73,Customer 73,594.05,2024-07-14
943,944,Customer 944,587.86,2024-07-06
545,546,Customer 546,587.15,2024-02-22
831,832,Customer 832,584.78,2024-10-08
37,38,Customer 38,583.21,2024-01-25
167,168,Customer 168,582.86,2024-08-16
34,35,Customer 35,582.63,2024-10-10
460,461,Customer 461,579.84,2024-06-11
57,58,Customer 58,576.29,2024-02-12
730,731,Customer 731,576.1,2024-01-25
90,91,Customer 91,571.79,2024-03-13
58,59,Customer 59,564.77,2023-12-17
137,138,Customer 138,563.52,2024-05-11
591,592,Customer 592,559.32,2024-06-30
933,934,Customer 934,556.78,2023-12-26
30,31,Customer 31,548.87,2024-09-06
883,884,Customer 884,548.86,2024-03-15
350,351,Customer 351,548.49,2024-04-02
683,684,Customer 684,547.97,2024-08-15
611,612,Customer 612,547.61,2024-01-12
118,119,Customer 119,547.26,2023-11-12
341,342,Customer 342,546.04,2024-07-14
603,604,Customer 604,545.81,2024-08-23
702,703,Customer 703,544.97,2023-12-28
957,958,Customer 958,543.72,2024-07-28
70,71,Customer 71,541.85,2024-01-28
235,236,Customer 236,540.71,2024-05-28
363,364,Customer 364,540.39,2024-02-14
704,705,Customer 705,539.85,2024-07-21
876,877,Customer 877,539.51,2024-01-24
195,196,Customer 196,537.82,2023-11-10
554,555,Customer 555,537.27,2023-12-06
410,411,Customer 411,535.48,2024-08-30
770,771,Customer 771,535.01,2024-06-27
